"p","d","q","P","D","Q","RMSE","MAE","MAPE","h","Granularity"
7,1,4,1,0,0,146.885897359338,140.269940466225,6.51073273316024,3,"monthly"
4,1,4,1,0,1,102.193403764356,77.3623292368085,3.80286420528177,4,"weekly"
7,1,4,1,0,0,129.65035378447,118.234085462462,5.83870835987315,6,"monthly"
4,1,4,1,0,1,142.330346847101,107.732742665611,5.21597286305293,8,"weekly"
