Date,CoffeeFutures
2008-01-02,2.25
2008-01-03,2.2225000858306885
2008-01-04,2.259999990463257
2008-01-07,2.202500104904175
2008-01-08,2.192500114440918
2008-01-09,2.244999885559082
2008-01-10,2.2799999713897705
2008-01-11,2.319999933242798
2008-01-14,2.2249999046325684
2008-01-15,2.265000104904175
2008-01-16,2.2799999713897705
2008-01-17,2.255000114440918
2008-01-18,2.240000009536743
2008-01-21,2.240000009536743
2008-01-22,2.2200000286102295
2008-01-23,2.2274999618530273
2008-01-24,2.2149999141693115
2008-01-25,2.2074999809265137
2008-01-28,2.190000057220459
2008-01-29,2.2249999046325684
2008-01-30,2.2300000190734863
2008-01-31,2.262500047683716
2008-02-01,2.2799999713897705
2008-02-04,2.309999942779541
2008-02-05,2.390000104904175
2008-02-06,2.382499933242798
2008-02-07,2.3924999237060547
2008-02-08,2.440000057220459
2008-02-11,2.4749999046325684
2008-02-12,2.5
2008-02-13,2.4800000190734863
2008-02-14,2.5199999809265137
2008-02-15,2.5999999046325684
2008-02-18,2.5899999141693115
2008-02-19,2.5799999237060547
2008-02-20,2.5799999237060547
2008-02-21,2.5924999713897705
2008-02-22,2.5999999046325684
2008-02-25,2.6424999237060547
2008-02-26,2.700000047683716
2008-02-27,2.637500047683716
2008-02-28,2.632499933242798
2008-02-29,2.6500000953674316
2008-03-03,2.6649999618530273
2008-03-04,2.6424999237060547
2008-03-05,2.619999885559082
2008-03-06,2.5799999237060547
2008-03-07,2.430000066757202
2008-03-10,2.307499885559082
2008-03-11,2.359999895095825
2008-03-12,2.4200000762939453
2008-03-13,2.4124999046325684
2008-03-14,2.4700000286102295
2008-03-17,2.3399999141693115
2008-03-18,2.0999999046325684
2008-03-19,2.122499942779541
2008-03-20,2.0399999618530273
2008-03-25,2.0299999713897705
2008-03-26,2.0850000381469727
2008-03-27,2.052500009536743
2008-03-28,2.012500047683716
2008-03-31,1.9839999675750732
2008-04-01,1.944000005722046
2008-04-02,2.002000093460083
2008-04-03,1.9850000143051147
2008-04-04,2.0299999713897705
2008-04-07,2.0299999713897705
2008-04-08,2.0399999618530273
2008-04-09,2.0299999713897705
2008-04-10,2.0875000953674316
2008-04-11,2.0199999809265137
2008-04-14,2.005000114440918
2008-04-15,2.005000114440918
2008-04-16,2.0899999141693115
2008-04-17,2.049999952316284
2008-04-18,2.115000009536743
2008-04-21,2.055000066757202
2008-04-22,2.0
2008-04-23,2.0299999713897705
2008-04-24,2.049999952316284
2008-04-25,1.9850000143051147
2008-04-28,1.9980000257492065
2008-04-29,2.049999952316284
2008-04-30,2.0450000762939453
2008-05-02,2.009999990463257
2008-05-05,1.9950000047683716
2008-05-06,2.0399999618530273
2008-05-07,2.0425000190734863
2008-05-08,2.0250000953674316
2008-05-09,2.065000057220459
2008-05-12,2.119999885559082
2008-05-13,2.109999895095825
2008-05-14,2.0950000286102295
2008-05-15,2.0950000286102295
2008-05-16,2.0950000286102295
2008-05-19,2.140000104904175
2008-05-20,2.055000066757202
2008-05-21,2.065000057220459
2008-05-22,2.115000009536743
2008-05-23,2.049999952316284
2008-05-26,2.0299999713897705
2008-05-27,2.0299999713897705
2008-05-28,2.0
2008-05-29,2.0399999618530273
2008-05-30,2.0399999618530273
2008-06-02,2.0399999618530273
2008-06-03,2.0850000381469727
2008-06-04,1.9800000190734863
2008-06-05,2.0350000858306885
2008-06-06,2.075000047683716
2008-06-09,2.0350000858306885
2008-06-10,2.0
2008-06-11,2.049999952316284
2008-06-12,2.049999952316284
2008-06-13,2.0799999237060547
2008-06-16,2.0199999809265137
2008-06-17,2.109999895095825
2008-06-18,2.115000009536743
2008-06-19,2.0850000381469727
2008-06-20,2.1050000190734863
2008-06-23,2.1500000953674316
2008-06-24,2.2100000381469727
2008-06-25,2.2249999046325684
2008-06-26,2.2100000381469727
2008-06-27,2.2699999809265137
2008-06-30,2.299999952316284
2008-07-01,2.299999952316284
2008-07-02,2.2799999713897705
2008-07-03,2.2699999809265137
2008-07-04,2.200000047683716
2008-07-07,2.299999952316284
2008-07-08,2.0999999046325684
2008-07-09,2.109999895095825
2008-07-10,2.075000047683716
2008-07-11,2.0999999046325684
2008-07-14,2.0899999141693115
2008-07-15,2.0950000286102295
2008-07-16,2.059999942779541
2008-07-17,2.065000057220459
2008-07-18,2.009999990463257
2008-07-21,2.0250000953674316
2008-07-22,2.0299999713897705
2008-07-23,2.0299999713897705
2008-07-24,2.0199999809265137
2008-07-25,2.005000114440918
2008-07-28,2.0299999713897705
2008-07-29,2.015000104904175
2008-07-30,2.0399999618530273
2008-07-31,2.059999942779541
2008-08-01,2.069999933242798
2008-08-04,2.0799999237060547
2008-08-05,2.0399999618530273
2008-08-06,2.109999895095825
2008-08-07,2.109999895095825
2008-08-08,2.140000104904175
2008-08-11,2.124000072479248
2008-08-12,2.130000114440918
2008-08-13,2.140000104904175
2008-08-14,2.140000104904175
2008-08-18,2.0999999046325684
2008-08-19,2.119999885559082
2008-08-20,2.180000066757202
2008-08-21,2.180000066757202
2008-08-22,2.184999942779541
2008-08-25,2.194999933242798
2008-08-26,2.2049999237060547
2008-08-27,2.2799999713897705
2008-08-28,2.319999933242798
2008-08-29,2.2899999618530273
2008-09-01,2.2899999618530273
2008-09-02,2.244999885559082
2008-09-03,2.255000114440918
2008-09-04,2.259999990463257
2008-09-05,2.299999952316284
2008-09-08,2.2750000953674316
2008-09-09,2.2699999809265137
2008-09-10,2.244999885559082
2008-09-11,2.234999895095825
2008-09-12,2.234999895095825
2008-09-15,2.202500104904175
2008-09-16,2.125
